Estado,Baixa,Media,Alta
RONDÔNIA,6994.316,2039.358,966.326
ACRE,9073.908,1440.402,485.69
AMAZONAS,8383.607,1740.661,575.732
RORAIMA,8295.095,1761.737,604.344
PARÁ,8704.548,1633.815,661.635
AMAPÁ,8135.152,1914.198,686.648
TOCANTINS,8263.272,1765.216,684.318
MARANHÃO,9011.748,1580.244,407.999
PIAUÍ,9332.974,1435.062,231.963
CEARÁ,9192.581,1582.258,225.161
RIO GRANDE DO NORTE,9173.395,1531.78,294.825
PARAÍBA,9266.137,1514.909,218.954
PERNAMBUCO,8999.347,1636.65,363.997
ALAGOAS,9120.343,1543.749,335.907
SERGIPE,8959.633,1657.056,383.311
BAHIA,9293.628,1527.052,283.318
MINAS GERAIS,8472.377,1800.532,527.091
ESPÍRITO SANTO,8153.484,1889.194,686.254
RIO DE JANEIRO,7669.265,2061.755,1078.98
SÃO PAULO,7327.828,2252.97,1419.203
PARANÁ,8234.197,1733.582,1032.221
SANTA CATARINA,8059.662,1792.422,1147.916
RIO GRANDE DO SUL,8100.555,1777.924,1121.521
MATO GROSSO DO SUL,8382.918,1683.099,934.048
MATO GROSSO,8490.195,1691.207,818.598
GOIÁS,8545.181,1683.368,771.451
DISTRITO FEDERAL,7617.247,2054.606,1328.147
