"Tabela 9888 - População residente, Área territorial e Densidade demográfica em favelas e comunidades urbanas, segundo as Favelas e Comunidades Urbanas"
"Variável - População residente em favelas e comunidades urbanas (Pessoas)"
"Brasil, Favela e Comunidade Urbana 2022 e Município";"Ano"
"Brasil, Favela e Comunidade Urbana 2022 e Município";"2022"
"Brasil";"16390790"
"Cacoal (RO)";"543"
"Guajará-Mirim (RO)";"2943"
"Porto Velho (RO)";"79806"
"Brasiléia (AC)";"3854"
"Cruzeiro do Sul (AC)";"14687"
"Epitaciolândia (AC)";"2069"
"Rio Branco (AC)";"48126"
"Amaturá (AM)";"2389"
"Anori (AM)";"4522"
"Barcelos (AM)";"1738"
"Barreirinha (AM)";"2701"
"Benjamin Constant (AM)";"5642"
"Boa Vista do Ramos (AM)";"1932"
"Boca do Acre (AM)";"4648"
"Carauari (AM)";"3914"
"Coari (AM)";"25047"
"Codajás (AM)";"3426"
"Eirunepé (AM)";"6279"
"Envira (AM)";"1842"
"Guajará (AM)";"373"
"Ipixuna (AM)";"4447"
"Iranduba (AM)";"18684"
"Itacoatiara (AM)";"25932"
"Lábrea (AM)";"7344"
"Manacapuru (AM)";"21581"
"Manaus (AM)";"1151828"
"Maués (AM)";"807"
"Novo Airão (AM)";"318"
"Parintins (AM)";"19079"
"Presidente Figueiredo (AM)";"6801"
"Rio Preto da Eva (AM)";"3942"
"Santo Antônio do Içá (AM)";"11184"
"Tabatinga (AM)";"4981"
"Tefé (AM)";"19237"
"Tonantins (AM)";"4374"
"Urucará (AM)";"315"
"Urucurituba (AM)";"2791"
"Boa Vista (RR)";"16009"
"Abaetetuba (PA)";"5220"
"Acará (PA)";"7275"
"Afuá (PA)";"8021"
"Almeirim (PA)";"5073"
"Altamira (PA)";"5097"
"Ananindeua (PA)";"288081"
"Bagre (PA)";"1755"
"Barcarena (PA)";"6372"
"Belém (PA)";"745140"
"Benevides (PA)";"18942"
"Bragança (PA)";"7976"
"Breu Branco (PA)";"12923"
"Breves (PA)";"7242"
"Cametá (PA)";"13297"
"Capanema (PA)";"9317"
"Castanhal (PA)";"18159"
"Dom Eliseu (PA)";"1449"
"Igarapé-Miri (PA)";"2624"
"Ipixuna do Pará (PA)";"812"
"Itaituba (PA)";"2565"
"Itupiranga (PA)";"599"
"Jacundá (PA)";"3198"
"Marabá (PA)";"64902"
"Marituba (PA)";"65599"
"Melgaço (PA)";"529"
"Moju (PA)";"1211"
"Monte Alegre (PA)";"5606"
"Óbidos (PA)";"529"
"Oriximiná (PA)";"752"
"Paragominas (PA)";"12837"
"Parauapebas (PA)";"26664"
"Prainha (PA)";"1055"
"Redenção (PA)";"10501"
"Santa Bárbara do Pará (PA)";"1910"
"Santa Izabel do Pará (PA)";"13468"
"Santarém (PA)";"88479"
"Santo Antônio do Tauá (PA)";"1293"
"São Félix do Xingu (PA)";"545"
"São Miguel do Guamá (PA)";"8395"
"Tomé-Açu (PA)";"16751"
"Tucuruí (PA)";"23267"
"Vigia (PA)";"7496"
"Viseu (PA)";"593"
"Amapá (AP)";"312"
"Cutias (AP)";"777"
"Laranjal do Jari (AP)";"10806"
"Macapá (AP)";"127650"
"Santana (AP)";"31899"
"Vitória do Jari (AP)";"7819"
"Araguaína (TO)";"9679"
"Goiatins (TO)";"282"
"Gurupi (TO)";"1152"
"Pedro Afonso (TO)";"600"
"Palmas (TO)";"29944"
"Xambioá (TO)";"664"
"Açailândia (MA)";"1609"
"Buriticupu (MA)";"506"
"Caxias (MA)";"4094"
"Imperatriz (MA)";"8973"
"Itapecuru Mirim (MA)";"577"
"Paço do Lumiar (MA)";"41423"
"Pinheiro (MA)";"453"
"Raposa (MA)";"11433"
"Santa Inês (MA)";"775"
"São José de Ribamar (MA)";"72444"
"São Luís (MA)";"358818"
"Timon (MA)";"1470"
"Tutóia (MA)";"608"
"Zé Doca (MA)";"570"
"Parnaíba (PI)";"456"
"Picos (PI)";"399"
"Teresina (PI)";"198189"
"Acaraú (CE)";"824"
